INDEX  | TEXT       | TYPE            | LINE  | COL  
--------------------------------------------------
0      | const      | CONST           | 2     | 0    
1      | |ket0>     | KET_IDENTIFIER  | 2     | 6    
2      | =          | ASSIGN          | 2     | 13   
3      | (          | LPAREN          | 2     | 15   
4      | 1          | INT             | 2     | 16   
5      | ,          | COMMA           | 2     | 17   
6      | 0          | INT             | 2     | 18   
7      | )          | RPAREN          | 2     | 19   
8      | const      | CONST           | 3     | 0    
9      | |ket1>     | KET_IDENTIFIER  | 3     | 6    
10     | =          | ASSIGN          | 3     | 13   
11     | (          | LPAREN          | 3     | 15   
12     | 0          | INT             | 3     | 16   
13     | ,          | COMMA           | 3     | 17   
14     | 1          | INT             | 3     | 18   
15     | )          | RPAREN          | 3     | 19   
16     | const      | CONST           | 4     | 0    
17     | op         | IDENTIFIER      | 4     | 6    
18     | =          | ASSIGN          | 4     | 9    
19     | (          | LPAREN          | 4     | 11   
20     | (          | LPAREN          | 4     | 12   
21     | 1          | INT             | 4     | 13   
22     | ,          | COMMA           | 4     | 14   
23     | 0          | INT             | 4     | 15   
24     | )          | RPAREN          | 4     | 16   
25     | ,          | COMMA           | 4     | 17   
26     | (          | LPAREN          | 4     | 19   
27     | 0          | INT             | 4     | 20   
28     | ,          | COMMA           | 4     | 21   
29     | 1          | INT             | 4     | 22   
30     | )          | RPAREN          | 4     | 23   
31     | )          | RPAREN          | 4     | 24   
32     | const      | CONST           | 5     | 0    
33     | op2        | IDENTIFIER      | 5     | 6    
34     | =          | ASSIGN          | 5     | 10   
35     | 1          | INT             | 5     | 12   
36     | /          | DIV             | 5     | 13   
37     | 2          | INT             | 5     | 14   
38     | *          | MUL             | 5     | 16   
39     | (          | LPAREN          | 5     | 18   
40     | (          | LPAREN          | 5     | 19   
41     | 1i         | COMPLEX         | 5     | 20   
42     | ,          | COMMA           | 5     | 22   
43     | 1i         | COMPLEX         | 5     | 23   
44     | )          | RPAREN          | 5     | 25   
45     | ,          | COMMA           | 5     | 26   
46     | (          | LPAREN          | 5     | 28   
47     | 1i         | COMPLEX         | 5     | 29   
